Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
[NFR-OBS-012] Operational dashboards,ECOM-159,10204,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,mvp,nfr-obs,should,wiki-linked,,,"*NFR-OBS-012:* Dashboards exist for: request rate, error rate, p95 latency, active user count, order rate.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Grafana dashboards versioned as JSON in repo.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0011r:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-011] No PII at INFO/DEBUG log level,ECOM-158,10203,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,must,mvp,nfr-obs,privacy,wiki-linked,,"*NFR-OBS-011:* Avoid logging PII at INFO/DEBUG level; PII MUST be redacted or hashed.

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Pair with NFR-SEC-013. Periodic log audit confirms compliance.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0011j:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-010] Published data retention & deletion policy,ECOM-157,10202,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,nfr-obs,privacy,should,v1.1,wiki-linked,,"*NFR-OBS-010:* Document data retention and deletion policy in a published privacy note.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Linked from app footer; updated when retention NFRs change.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0011b:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-009] GDPR data-subject runbook,ECOM-156,10201,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,nfr-obs,privacy,should,v1.1,wiki-linked,,"*NFR-OBS-009:* Self-service endpoint or runbook for GDPR data-subject access and erasure requests.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Pair with NFR-SEC-012. Documented response time ≤ 30 days.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i00113:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-008] Error tracking service (Sentry-equivalent),ECOM-155,10200,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,nfr-obs,should,v1.1,wiki-linked,,,"*NFR-OBS-008:* Surface uncaught exceptions to error-tracking service (Sentry-equivalent) without exposing them to users.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Sentry SDK on both backend and frontend; PII scrubbing enabled.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0010v:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-007] Alerts on error rate / p95 / readiness,ECOM-154,10199,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,must,mvp,nfr-obs,wiki-linked,,,"*NFR-OBS-007:* Alerts fire on: error rate > 1% over 5min, p95 latency exceeding NFR-PERF-001 by 50% for 10min, readiness probe failing for 2min.

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

h3. AC

* Alerts route to oncall channel
* Quarterly fire-drill confirms wiring
* Documented in runbooks/alerts.md",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0010n:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-006] Log retention: 30d standard / 365d audit,ECOM-153,10198,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,must,mvp,nfr-obs,wiki-linked,,,"*NFR-OBS-006:* Logs retained ≥ 30 days; audit logs retained ≥ 1 year.

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Lifecycle rules on log backend.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i0010f:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-005] Separate audit log for security-relevant events,ECOM-152,10197,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,must,mvp,nfr-obs,security,wiki-linked,,"*NFR-OBS-005:* Security-relevant events (login success/failure, admin actions, role changes) written to audit log distinct from request logs.

*Priority:* Must | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

Pair with FR-ADM-012.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i00107:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-004] OpenTelemetry traces for order creation,ECOM-151,10196,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,nfr-obs,should,v1.1,wiki-linked,,,"*NFR-OBS-004:* Emit distributed traces (OpenTelemetry) for at least the order-creation transaction.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

OTLP exporter; spans cover validation, stock decrement, order insert, cart clear.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000zz:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
[NFR-OBS-003] Prometheus /metrics endpoint,ECOM-150,10195,Task,To Do,ECOM,AgenticQAJIRA,software,Meetu Chandra,557058:e495708d-3c72-4f1e-a0cd-114d86e655b2,,Medium,,,,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,16-06-2026 20:05,16-06-2026 20:05,,,,0,mvp,nfr-obs,should,wiki-linked,,,"*NFR-OBS-003:* Application metrics exposed in Prometheus format at /metrics: request count, error rate, latency histogram per endpoint.

*Priority:* Should | *Epic:* ECOM-16
*Wiki:* https://meetuchandra-1781427506328.atlassian.net/wiki/spaces/QA/pages/1703937

prometheus-fastapi-instrumentator or similar.",,varun kalapala,557058:006716a1-e7ca-43ae-b280-54b4ce24f884,,,,,,,,,,,0|i000zr:,,,,,10061,ECOM-16,[NFR-OBS] Observability & Compliance,To Do,16-06-2026 20:05
